N_SAMPLES,N_NEURONS,Strategy,Accuracy_A,Accuracy_A_std,Accuracy_NOTB,Accuracy_NOTB_std,Accuracy_GEN,Accuracy_GEN_std,Harmonic_Mean,Harmonic_Mean_std
10,20000,FT NOT-B,0.10745580872622747,0.0816319287060229,1.0,0.0,0.5760000000000001,0.1168931135696197,0.22223346307620484,0.1159080947361703
10,20000,C-FT NOT-B (spec),0.4912899192399647,0.13744588613296743,1.0,0.0,0.604,0.1261110621634756,0.6214713808467325,0.10910097755213678
10,20000,C-FT NOT-B (free_A),0.7354575324449266,0.10535911848007305,0.7519999999999999,0.1750885490259143,0.22000000000000003,0.1828660712105994,0.43449795542834113,0.18499913067465426
10,20000,C-FT NOT-B (free_B),0.7940874142390436,0.09281333384960495,0.732,0.176,0.20400000000000001,0.16894969665554302,0.42367541529709196,0.20132252601256861
10,20000,C-FT NOT-B (busy_A),0.4491140183906843,0.10938921713572264,1.0,0.0,0.6159999999999999,0.09068627239003704,0.6061547989467708,0.08405825929969193
10,20000,C-FT NOT-B (busy_B),0.4296696605577194,0.13369364102948672,1.0,0.0,0.6559999999999999,0.12483589227461793,0.5965977846875876,0.11565386719596595
10,20000,C-FT NOT-B (rnd),0.6877571087307827,0.10723763236010204,0.944,0.08333066662399868,0.44799999999999995,0.21226398658274556,0.5793401338358027,0.22169070262883658
100,20000,FT NOT-B,0.2384239773995746,0.018566527553760336,0.9975999999999999,0.0029393876913398165,0.43439999999999995,0.08867378417548223,0.3977802042681736,0.04110778611153478
100,20000,C-FT NOT-B (spec),0.41208572234447416,0.04623317547186947,0.9879999999999999,0.0053665631459995,0.32960000000000006,0.053865016476373616,0.45960517947331925,0.04564434718039388
100,20000,C-FT NOT-B (free_A),0.3174125275102881,0.05233879774173548,0.5864,0.04792327200849288,0.12840000000000001,0.027579702681501124,0.23329980960834734,0.03489363309028111
100,20000,C-FT NOT-B (free_B),0.30136387457836683,0.04366784687500096,0.6488,0.06238717816987716,0.1456,0.03220931542271583,0.2515050655183127,0.03718046007218012
100,20000,C-FT NOT-B (busy_A),0.43542175466710226,0.04264221128588744,0.9987999999999999,0.0015999999999999623,0.42679999999999996,0.08470749671664252,0.5278272232936052,0.05725792016613066
100,20000,C-FT NOT-B (busy_B),0.46283181780330357,0.032273674566782026,0.9992000000000001,0.001599999999999957,0.44719999999999993,0.08252611707817109,0.552036451276896,0.05214763323965494
100,20000,C-FT NOT-B (rnd),0.4737143876500537,0.03497972606267615,0.8736,0.04847102227104356,0.2916,0.048222816176577664,0.44395170461867794,0.035604392168995413
1000,20000,FT NOT-B,0.1818074524527789,0.006975167010274135,0.9914,0.008867919710958154,0.44220000000000004,0.053435568678549684,0.3411416338903994,0.01629405844348929
